service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Soboty_0,0,0,0,0,0,1,0,20260214,20261231
Nedela+sv_1,0,0,0,0,0,0,1,20260214,20261231
Prac.dny_2,1,1,1,1,1,0,0,20260214,20261231
Leto_3,1,1,1,1,1,0,0,20260214,20261231
Soboty_4,0,0,0,0,0,1,0,20260214,20261231
Nedela+sv_5,0,0,0,0,0,0,1,20260214,20261231
cv_6,1,1,1,1,1,0,0,20260214,20261231
wx_7,1,1,1,1,1,1,1,20260214,20261231
ww_8,0,0,0,0,0,0,1,20260214,20261231
wv_9,1,1,1,1,1,0,0,20260214,20261231
wx_10,1,1,1,1,1,1,1,20260214,20261231
ww_11,0,0,0,0,0,0,1,20260214,20261231
Soboty_12,0,0,0,0,0,1,0,20260214,20261231
Nedela+sv_13,0,0,0,0,0,0,1,20260214,20261231
wx_14,1,1,1,1,1,1,1,20260214,20261231
ww_15,0,0,0,0,0,0,1,20260214,20261231
